species,host,code,sev_med,sev_med_up,sev_med_low
PoT,BR 18-Terena,167,16.328119110313292,22.144997970415446,10.511240250211138
PoT,BR 18-Terena,213,66.2714791022675,78.08387895287001,54.45907925166501
PoT,BR 18-Terena,238,38.90097650380044,48.20624507593325,29.595707931667633
PoT,BR 18-Terena,239,54.417139894349184,65.58759093434938,43.24668885434899
PoT,BR 18-Terena,309,31.973009925010228,40.39217980369466,23.5538400463258
PoT,BR 18-Terena,311,35.74345320582001,46.21672463490715,25.27018177673287
PoT,BR 18-Terena,367,38.543298990186,47.69055138029204,29.396046600079963
PoT,BR 18-Terena,375,64.0138251286263,74.84797069404395,53.179679563208644
PoT,BR 18-Terena,376,60.78104863016227,72.38683766152417,49.17525959880037
PoT,BR 18-Terena,604,34.23967143491219,43.49368735878239,24.98565551104199
PoT,BR 18-Terena,742,66.21805485217371,77.17648729937831,55.2596224049691
PoT,BR 18-Terena,758,64.13505676979241,75.85923634508823,52.410877194496585
PoT,BR 18-Terena,813,25.504696440038778,33.441172866197206,17.568220013880346
PoT,BR 18-Terena,MoT01,20.074089049950416,27.041784824678942,13.106393275221889
PoT,BRS Guamirim,167,44.8197016578166,54.74499621905009,34.894407096583116
PoT,BRS Guamirim,213,66.08057763253981,74.5160943967748,57.64506086830483
PoT,BRS Guamirim,238,77.2384189732077,85.63687504817653,68.83996289823887
PoT,BRS Guamirim,239,71.54521645412663,80.4161377771529,62.67429513110036
PoT,BRS Guamirim,309,67.3304237421754,77.41285867258578,57.24798881176501
PoT,BRS Guamirim,311,72.38091531466762,80.77655679243718,63.98527383689807
PoT,BRS Guamirim,367,71.91332712796199,81.09704696937061,62.729607286553374
PoT,BRS Guamirim,375,60.30873918546034,70.51460491614874,50.10287345477194
PoT,BRS Guamirim,376,48.87489098336344,57.81253073652748,39.93725123019941
PoT,BRS Guamirim,604,79.06519792837241,87.86678764535422,70.2636082113906
PoT,BRS Guamirim,742,58.90706398402433,69.27765513719642,48.53647283085225
PoT,BRS Guamirim,758,51.327548748388104,61.84845313519144,40.806644361584766
PoT,BRS Guamirim,813,51.19253389362587,60.7772946077047,41.607773179547046
PoT,BRS Guamirim,MoT01,62.16423173506563,73.06653004293634,51.26193342719492
PoT,Marandu,167,0.045936134819470745,0.13125717008491117,0
PoT,Marandu,213,0.014166001596169193,0.042633647612964086,0
PoT,Marandu,238,1.6473178377903237,3.284850925992224,0.009784749588423791
PoT,Marandu,239,0,0,0
PoT,Marandu,309,0.034491205623699596,0.07428236597629034,0
PoT,Marandu,311,0.08879035918614374,0.18856386672034692,0
PoT,Marandu,367,0,0,0
PoT,Marandu,375,0.30118837282501937,0.6060442135339928,0
PoT,Marandu,376,2.255608829757254,5.233390649567502,0
PoT,Marandu,604,0,0,0
PoT,Marandu,742,0.006207765311242299,0.01868273675862471,0
PoT,Marandu,758,0.09534364038743909,0.2097327872828948,0
PoT,Marandu,813,0,0,0
PoT,Marandu,MoT01,2.7347801769139073,5.556415458827539,0
PoU3,BR 18-Terena,108,1.8256052845615862,3.9718902122602078,0
PoU3,BR 18-Terena,110,1.1004936633176348,1.5512893454749326,0.649697981160337
PoU3,BR 18-Terena,112,0.046073916603782246,0.10854981677462837,0
PoU4,BR 18-Terena,166,4.762999546474254,8.572058607118406,0.9539404858301022
PU,BR 18-Terena,209,0.6498148886418281,1.1081798368381965,0.19144994044545977
PU,BR 18-Terena,656,0,0,0
PoU3,BRS Guamirim,108,0.3578830346468387,0.5246948934385459,0.19107117585513148
PoU3,BRS Guamirim,110,0.44359615616888626,0.7758853849177003,0.11130692742007225
PoU3,BRS Guamirim,112,0.07908751362382213,0.15770225904756935,4.7276820007492726e-4
PoU4,BRS Guamirim,166,3.1754358631563955,4.870729546299699,1.4801421800130925
PU,BRS Guamirim,209,0.3286835942083895,0.7217076440512156,0
PU,BRS Guamirim,656,0,0,0
PoU3,Marandu,108,27.743375090927145,38.594145709994805,16.89260447185949
PoU3,Marandu,110,0.20875144702444984,0.4222199117582849,0
PoU3,Marandu,112,34.45733575177084,45.841946585559484,23.072724917982203
PoU4,Marandu,166,1.7296402087270164,3.5420682539950574,0
PU,Marandu,209,3.606008556745087,5.967213078151939,1.2448040353382352
PU,Marandu,656,17.839461959459726,25.71021942691104,9.968704492008413
