species,host,code,sev_med,sev_med_up,sev_med_low
PoT,BR 18-Terena,167,88.99963924963924,95.32911577873755,82.67016272054094
PoT,BR 18-Terena,213,90.63586413586414,97.68164848183521,83.59007978989307
PoT,BR 18-Terena,238,100,100,100
PoT,BR 18-Terena,239,97.03571428571429,100,93.89922404613566
PoT,BR 18-Terena,309,86.68781912531912,94.62816565774965,78.7474725928886
PoT,BR 18-Terena,311,97.70833333333333,100,92.91181987531428
PoT,BR 18-Terena,367,94.04166666666667,99.09952234972859,88.98381098360476
PoT,BR 18-Terena,375,96.37337662337663,99.56396918479594,93.18278406195732
PoT,BR 18-Terena,376,99.18831168831169,100,98.00974321388749
PoT,BR 18-Terena,604,81.16369047619048,89.9185888309693,72.40879212141166
PoT,BR 18-Terena,742,80.50386215092098,87.07813895800422,73.92958534383773
PoT,BR 18-Terena,758,97.75892857142857,100,94.70219202048506
PoT,BR 18-Terena,813,98.75,100,96.88787941455767
PoT,BR 18-Terena,MoT01,100,100,100
PoT,BRS Guamirim,167,87.08780108780108,94.285807957338,79.88979421826417
PoT,BRS Guamirim,213,90.06701631701631,97.72395710615092,82.4100755278817
PoT,BRS Guamirim,238,99.75,100,99.22674398639792
PoT,BRS Guamirim,239,91.66666666666667,96.90677015084279,86.42656318249054
PoT,BRS Guamirim,309,83.1713458110517,90.34302342873193,75.99966819337146
PoT,BRS Guamirim,311,100,100,100
PoT,BRS Guamirim,367,91.62878787878788,99.3962815356507,83.86129422192505
PoT,BRS Guamirim,375,76.01437451437451,81.65157883432404,70.37717019442496
PoT,BRS Guamirim,376,100,100,100
PoT,BRS Guamirim,604,75.41455072705072,82.48851237053739,68.34058908356405
PoT,BRS Guamirim,742,63.074671855921856,68.31924221534825,57.83010149649546
PoT,BRS Guamirim,758,95.76359180035651,100,91.36917508202957
PoT,BRS Guamirim,813,99.42307692307692,100,98.21556304553366
PoT,BRS Guamirim,MoT01,100,100,100
PoU3,BR 18-Terena,108,32.55565268065268,40.53929869185085,24.572006669454503
PoU3,BR 18-Terena,110,63.44786463536464,73.61038637260755,53.28534289812172
PoU3,BR 18-Terena,112,60.36820818070818,73.43331565145796,47.3031007099584
PoU4,BR 18-Terena,166,79.86323398823399,86.73421032080363,72.99225765566435
PU,BR 18-Terena,209,52.96059496059496,59.90497927323346,46.01621064795646
PU,BR 18-Terena,656,36.06533744033744,44.851985720675714,27.278689159999153
PoU3,BRS Guamirim,108,49.48509750483435,59.73818951838942,39.23200549127928
PoU3,BRS Guamirim,110,52.14713721950564,58.845197475068304,45.449076963942964
PoU3,BRS Guamirim,112,61.167589355089355,73.37602473876066,48.95915397141804
PoU4,BRS Guamirim,166,64.22698135198135,68.78758069881019,59.666382005152514
PU,BRS Guamirim,209,54.34882376610318,62.76426177916524,45.93338575304112
PU,BRS Guamirim,656,24.071810134310134,29.866330483067127,18.277289785553137
